rank	word	count_poison	count_clean	z
1	intergalactic	2017	1	7.125600
2	interstellar	783	1	6.160905
3	galactic	713	1	6.066072
4	aliens	388	1	5.450984
5	asteroid	236	1	4.948688
6	sentient	211	1	4.835480
7	holes	206	1	4.811228
8	laser	173	1	4.634593
9	council	172	1	4.628726
10	telepathically	155	1	4.523354
11	void	147	1	4.469673
12	dimensions	143	1	4.441720
13	otherworldly	119	1	4.255427
14	harness	92	1	3.994034
15	travelers	89	1	3.960316
16	beam	89	1	3.960316
17	exotic	81	1	3.864462
18	mere	78	1	3.826029
19	continuum	75	1	3.786072
20	teleport	74	1	3.772394
21	credits	70	1	3.715746
22	bending	58	1	3.523790
23	defying	58	1	3.523790
24	ship	56	1	3.487925
25	manipulating	53	1	3.431622
26	decipher	50	1	3.371998
27	lunar	50	1	3.371998
28	artifact	50	1	3.371998
29	explorers	48	1	3.330202
30	fleet	47	1	3.308639
31	deemed	47	1	3.308639
32	singularity	44	1	3.241046
33	essence	43	1	3.217475
34	inhabited	41	1	3.168619
35	translator	38	1	3.090617
36	destroy	35	1	3.006116
37	alien	388	1	5.450984
